resume_text,job_description,label
senior software engineer 6 years java cloud platform experience proficient restful apis microservices,sr. software engineer cloud services ncr voyix requiring 5+ years java restful apis microservices experience,1
data analyst 2 years experience sql tableau programming background,senior data engineer quantexa requiring 3+ years scala python big data processing,0
full-stack engineer 5 years react nodejs mongodb experience skilled api development,senior software engineer fullstack zeal requiring 5+ years react nodejs mongodb,1
finance manager 7 years corporate finance experience technical skills,finance business analyst apex fintech solutions requiring 3+ years financial analysis process optimization,0
sales data analyst 4 years sql looker salesforce experience media industry,sales data analyst madhive requiring 3+ years sql looker salesforce proficiency,1
ai engineer 3 years python rag nlp experience worked saas products,senior ai engineer remberg requiring 2+ years ai solution development saas products,1
graphic designer 5 years adobe suite experience coding knowledge,senior android engineer instacart requiring 5+ years android development kotlin,0
program analyst 4 years experience acquisition sharepoint holds it-ii clearance,program acquisition analyst aetos systems requiring 3+ years acquisition sharepoint,1
engineering team lead 4 years leadership javascript development experience,team lead engineering sosafe requiring 3+ years leadership technical skills,1
backend engineer 6 years python aws kubernetes experience social impact projects,backend software engineer patrick j. mcgovern foundation requiring 5+ years python aws,1
netsuite developer 4 years javascript suitecommerce experience,netsuite developer saxon ai requiring 3+ years netsuite javascript,1
technical support specialist 3 years saas support rest api knowledge,technical support associate ii alloy requiring 2+ years saas technical support,1
project manager 5 years technical project management defense sector holds top secret clearance,technical project manager cambridge international systems requiring top secret clearance,1
data scientist 4 years python gcp experience automotive marketing,data scientist mindcurv requiring 3-5 years python gcp marketing,1
senior java engineer 6 years hibernate mongodb experience contributed open-source projects,senior software engineer java mongodb requiring 5+ years java hibernate,1
sales engineer 7 years telecom circuit design voip experience,sales engineer connectivity nice ltd requiring 6+ years telecom engineering,1
engineer 3 years saas administration helpdesk support experience,engineer lumos requiring saas administration helpdesk skills,1
network engineer 9 years bgp palo alto firewall experience trading,network engineer imc trading requiring 8+ years low-latency networking,1
program manager 5 years healthcare project management experience,program manager imagen technologies requiring 4+ years healthcare program management,1
ruby rails engineer 5 years postgresql elasticsearch experience,mid ruby rails engineer anka requiring 4+ years ruby rails elasticsearch,1
executive assistant 6 years supporting c-level executives tech firms,executive assistant dtex systems requiring 5+ years executive support,1
site operations manager 8 years wms warehouse systems experience,manager site operations systems 1-800-flowers requiring 5+ years wms,1
software engineer 2 years c++ android development experience,software engineer c++/kotlin/linux/android abalta technologies requiring 1-3 years c++ android,1
data analyst 3 years sql tableau experience customer-facing role,senior data analyst yello requiring 2-4 years sql customer-facing analytics,0
network engineer 5 years cisco switch configuration cybersecurity focus,principal network engineer assystem requiring cybersecurity cisco experience,0
